,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
4075,////Destination Weddings////,Varanasi,5810847,625895,117034,269473,419833,Luxury Package,254533,Celebrity Singers/Dancer,1976,Traditional Handicrafts,186,Customized Invitations
4076,Resort Weddings,Mumbai,2881696,121821,149038,218041,314317,Floral Decor,259421,Celebrity Singers/Dancer,4622,Premium Perfumes,644,Boxed
4077,Beach Weddings,////Mussoorie////,3754448,99502,58909,39015,432157,Luxury Package,377744,Celebrity Singers/Dancer,4242,Premium Perfumes,352,Customized Invitations
4078,Resort Weddings,////Bangaram Island////,3391118,54999,83166,288193,411895,Luxury Package,314399,Celebrity Singers/Dancer,1010,Traditional Handicrafts,502,Boxed
4079,Resort Weddings,Bangalore,2958164,150127,93844,160791,569607,Luxury Package,330444,Celebrity Singers/Dancer,3652,High-Quality,775,Boxed
4080,Hotel Weddings,Nainital,570140,62147,212406,247418,350236,Floral Decor,250317,Celebrity Singers/Dancer,1834,Traditional Handicrafts,284,Customized Invitations
4081,////Destination Weddings////,Jodhpur,4576588,662327,289317,218062,591775,Luxury Package,237012,Professional Singer/Dance,1685,Traditional Handicrafts,789,Boxed
4082,Palace Weddings,New Delhi,6636697,713594,393966,184062,228160,Floral Decor,88406,Live Band,2755,High-Quality,631,Boxed
4083,Hotel Weddings,Varanasi,486899,54895,492494,262270,582944,Luxury Package,96390,Live Band,3472,High-Quality,640,Boxed
4084,Hotel Weddings,Shimla,264308,52535,479277,175802,496060,Luxury Package,71516,Live Band,3240,High-Quality,768,Boxed
4085,////Temple Weddings////,////Bangaram Island////,96045,22755,8732,236121,202863,Floral Decor,243206,Professional Singer/Dance,2896,High-Quality,467,Customized Invitations
4086,////Farmhouse Weddings////,Udaipur,3011502,72438,56304,28528,61992,Venue Decor/519830,241525,Professional Singer/Dance,2817,High-Quality,431,Customized Invitations
4087,////Destination Weddings////,Hyderabad,4281797,703106,145557,230521,552243,Luxury Package,188205,Professional Singer/Dance,3112,High-Quality,586,Boxed
4088,Hotel Weddings,Jodhpur,316482,80033,592726,200243,378931,Floral Decor,493226,Celebrity Singers/Dancer,2651,High-Quality,62,Traditional Paper
4089,Palace Weddings,Tirupati,5639825,356926,556823,35769,579637,Luxury Package,354223,Celebrity Singers/Dancer,1983,Traditional Handicrafts,155,Customized Invitations
4090,Hotel Weddings,Udaipur,379007,88040,554703,279795,66278,Venue Decor/519830,92558,Live Band,2828,High-Quality,575,Boxed
4091,Palace Weddings,Udaipur,5387433,333493,289823,120824,599839,Luxury Package,214835,Professional Singer/Dance,2647,High-Quality,66,Traditional Paper
4092,////Temple Weddings////,////Agatti Island////xc2,70795,20169,6706,98839,262473,Floral Decor,372061,Celebrity Singers/Dancer,2223,High-Quality,393,Customized Invitations
4093,Beach Weddings,Nainital,1816252,92395,53541,264838,541950,Luxury Package,275212,Celebrity Singers/Dancer,3957,High-Quality,884,Scroll Invitations
4094,////Farmhouse Weddings////,Tirupati,2759278,52135,87190,166554,57472,Mandap,171091,Professional Singer/Dance,3697,High-Quality,705,Boxed
4095,Resort Weddings,Neil Island,1517738,127066,42725,122495,448871,Luxury Package,491114,Celebrity Singers/Dancer,3304,High-Quality,838,Scroll Invitations
4096,Palace Weddings,Alibaug,7776480,557138,514873,66151,159663,Venue Decor/519830,25794,DJ/Sangeet,2409,High-Quality,544,Boxed
4097,Heritage Weddings,Bangalore,9107089,228914,448937,80783,216764,Floral Decor,364433,Celebrity Singers/Dancer,1777,Traditional Handicrafts,247,Customized Invitations
4098,Cruise Weddings,Tirupati,3564269,219934,74808,105753,347999,Floral Decor,107938,Professional Singer/Dance,2654,High-Quality,889,Scroll Invitations
4099,Beach Weddings,Tirupati,1828769,120464,50487,72281,206045,Floral Decor,133752,Professional Singer/Dance,2595,High-Quality,240,Customized Invitations
4100,Resort Weddings,////Rishikesh////xc2,2500746,180151,136195,168122,91566,Venue Decor/519830,164433,Professional Singer/Dance,4416,Premium Perfumes,580,Boxed
4101,Resort Weddings,Bangalore,2774257,53720,148832,282600,218850,Floral Decor,329871,Celebrity Singers/Dancer,4135,Premium Perfumes,205,Customized Invitations
4102,////Temple Weddings////,Hyderabad,64030,19446,10830,185957,384866,Floral Decor,296184,Celebrity Singers/Dancer,3695,High-Quality,367,Customized Invitations
4103,Resort Weddings,////Mussoorie////,1546244,147408,138629,118272,299824,Floral Decor,397690,Celebrity Singers/Dancer,1835,Traditional Handicrafts,446,Customized Invitations
4104,////Temple Weddings////,Jaipur,49287,17257,7363,171328,271270,Floral Decor,338714,Celebrity Singers/Dancer,1971,Traditional Handicrafts,532,Boxed
4105,Palace Weddings,Tirupati,5747970,885036,523361,39873,482964,Luxury Package,363149,Celebrity Singers/Dancer,4896,Premium Perfumes,521,Boxed
4106,Palace Weddings,Hyderabad,5722774,598112,155678,144506,586137,Luxury Package,129189,Professional Singer/Dance,1607,Traditional Handicrafts,635,Boxed
4107,Beach Weddings,Bangalore,2509673,126108,47925,280880,329416,Floral Decor,331781,Celebrity Singers/Dancer,3563,High-Quality,654,Boxed
4108,////Temple Weddings////,Jodhpur,93342,16768,6981,55172,367676,Floral Decor,145589,Professional Singer/Dance,3451,High-Quality,638,Boxed
4109,////Farmhouse Weddings////,Lonavala,2469239,72430,57068,104278,152357,Venue Decor/519830,133116,Professional Singer/Dance,3124,High-Quality,122,Customized Invitations
4110,Palace Weddings,Udaipur,5380571,538994,484635,145830,306857,Floral Decor,237974,Professional Singer/Dance,4755,Premium Perfumes,610,Boxed
4111,////Farmhouse Weddings////,Udaipur,2982783,61161,91092,200222,419951,Luxury Package,440787,Celebrity Singers/Dancer,4248,Premium Perfumes,726,Boxed
4112,Cruise Weddings,New Delhi,7669427,171422,117110,124011,244808,Floral Decor,63079,Live Band,4164,Premium Perfumes,968,Scroll Invitations
4113,Resort Weddings,Neil Island,2408417,114276,82550,140226,167067,Venue Decor/519830,88887,Live Band,2318,High-Quality,778,Boxed
4114,Hotel Weddings,Goa,891024,69462,420082,127941,305014,Floral Decor,287933,Celebrity Singers/Dancer,4662,Premium Perfumes,928,Scroll Invitations
4115,Heritage Weddings,////Bangaram Island////,8173985,773264,189373,267529,514880,Luxury Package,321792,Celebrity Singers/Dancer,3414,High-Quality,130,Customized Invitations
4116,Beach Weddings,////Agatti Island////xc2,3488306,178781,65831,190594,307574,Floral Decor,460154,Celebrity Singers/Dancer,3848,High-Quality,609,Boxed
4117,Resort Weddings,Udaipur,2209166,178619,79075,193797,561122,Luxury Package,30943,Live Band,2521,High-Quality,965,Scroll Invitations
4118,////Destination Weddings////,Alibaug,5738775,635401,283094,122297,131732,Venue Decor/519830,313648,Celebrity Singers/Dancer,2555,High-Quality,481,Customized Invitations
4119,Heritage Weddings,Goa,7501203,183304,258162,284484,546816,Luxury Package,42280,Live Band,2547,High-Quality,759,Boxed
4120,////Temple Weddings////,////Agatti Island////xc2,78882,29497,7038,188248,285487,Floral Decor,165341,Professional Singer/Dance,2749,High-Quality,260,Customized Invitations
4121,////Destination Weddings////,Goa,5165640,613037,169324,219106,55628,Mandap,234903,Professional Singer/Dance,4044,Premium Perfumes,497,Customized Invitations
4122,Resort Weddings,Neil Island,2930342,141494,141666,62404,400258,Luxury Package,195458,Professional Singer/Dance,2617,High-Quality,823,Scroll Invitations
4123,Palace Weddings,////Agatti Island////xc2,6832744,203714,539428,235929,126159,Venue Decor/519830,57365,Live Band,3310,High-Quality,528,Boxed
4124,Hotel Weddings,Neil Island,547906,62923,321829,112268,237164,Floral Decor,211189,Professional Singer/Dance,4578,Premium Perfumes,646,Boxed
4125,////Temple Weddings////,Alibaug,62816,20775,9095,258031,573474,Luxury Package,79166,Live Band,1575,Traditional Handicrafts,188,Customized Invitations
4126,Palace Weddings,Jaipur,8049779,583812,606619,274618,476733,Luxury Package,354881,Celebrity Singers/Dancer,1312,Traditional Handicrafts,608,Boxed
4127,Palace Weddings,////Bangaram Island////,5723074,883646,171096,202383,468613,Luxury Package,371180,Celebrity Singers/Dancer,1897,Traditional Handicrafts,791,Boxed
4128,Palace Weddings,Udaipur,8425359,755698,164759,170241,71959,Venue Decor/519830,193906,Professional Singer/Dance,2107,High-Quality,943,Scroll Invitations
4129,////Farmhouse Weddings////,Varanasi,3308864,85407,36994,198909,336317,Floral Decor,249755,Professional Singer/Dance,3606,High-Quality,126,Customized Invitations
4130,Hotel Weddings,Shimla,452215,93835,466589,181943,359679,Floral Decor,99644,Live Band,4169,Premium Perfumes,131,Customized Invitations
4131,////Destination Weddings////,Varanasi,5635687,504504,139703,293686,98701,Venue Decor/519830,62694,Live Band,1042,Traditional Handicrafts,62,Traditional Paper
4132,////Temple Weddings////,Varanasi,83900,15071,11984,105138,194966,Venue Decor/519830,33550,Live Band,3987,High-Quality,758,Boxed
4133,Cruise Weddings,Mumbai,7868023,100364,87771,224367,283082,Floral Decor,278378,Celebrity Singers/Dancer,1387,Traditional Handicrafts,539,Boxed
4134,Hotel Weddings,Jaisalmer,701127,73007,517337,221526,220485,Floral Decor,199738,Professional Singer/Dance,707,Edible,86,Traditional Paper
4135,Palace Weddings,Goa,6805816,248469,255897,190455,130446,Venue Decor/519830,320531,Celebrity Singers/Dancer,2898,High-Quality,407,Customized Invitations
4136,Beach Weddings,Goa,3227892,123928,51047,251065,176736,Venue Decor/519830,379675,Celebrity Singers/Dancer,4245,Premium Perfumes,457,Customized Invitations
4137,Hotel Weddings,Bangalore,982722,51507,122637,29694,103601,Venue Decor/519830,50009,Live Band,2591,High-Quality,486,Customized Invitations
4138,////Destination Weddings////,Jodhpur,3155388,679045,216210,185203,588601,Luxury Package,292951,Celebrity Singers/Dancer,4100,Premium Perfumes,565,Boxed
4139,Cruise Weddings,Lonavala,5571802,236942,146501,220205,189353,Venue Decor/519830,191168,Professional Singer/Dance,4714,Premium Perfumes,508,Boxed
4140,////Destination Weddings////,////Bangaram Island////,3360923,695574,246970,37135,339311,Floral Decor,36967,Live Band,1241,Traditional Handicrafts,699,Boxed
4141,Beach Weddings,Jaisalmer,2416355,167522,71452,167552,416870,Luxury Package,163761,Professional Singer/Dance,1356,Traditional Handicrafts,309,Customized Invitations
4142,Beach Weddings,////Mussoorie////,4253112,161860,81520,299950,316358,Floral Decor,271343,Celebrity Singers/Dancer,1064,Traditional Handicrafts,119,Customized Invitations
4143,////Destination Weddings////,////Bangaram Island////,3740981,585083,115152,196273,180960,Venue Decor/519830,482944,Celebrity Singers/Dancer,1287,Traditional Handicrafts,257,Customized Invitations
4144,Heritage Weddings,////Mussoorie////,11961241,673639,235831,99113,465815,Luxury Package,411285,Celebrity Singers/Dancer,1478,Traditional Handicrafts,394,Customized Invitations
4145,Beach Weddings,////Mussoorie////,4910043,181760,63635,149770,326910,Floral Decor,267386,Celebrity Singers/Dancer,4859,Premium Perfumes,765,Boxed
4146,////Destination Weddings////,New Delhi,4939788,664992,206256,136121,90262,Venue Decor/519830,223926,Professional Singer/Dance,1212,Traditional Handicrafts,418,Customized Invitations
4147,Cruise Weddings,Hyderabad,7386728,143086,124021,294556,458561,Luxury Package,202675,Professional Singer/Dance,4272,Premium Perfumes,517,Boxed
4148,Resort Weddings,Alibaug,3147085,147662,135791,44951,481684,Luxury Package,243879,Professional Singer/Dance,671,Edible,169,Customized Invitations
4149,Palace Weddings,Nainital,7693108,446332,106894,234075,580046,Luxury Package,164307,Professional Singer/Dance,2404,High-Quality,927,Scroll Invitations
4150,Hotel Weddings,Hyderabad,770589,80411,359310,37136,367469,Floral Decor,413094,Celebrity Singers/Dancer,4840,Premium Perfumes,79,Traditional Paper
4151,////Temple Weddings////,Goa,55111,20209,10754,99972,326615,Floral Decor,270244,Celebrity Singers/Dancer,4587,Premium Perfumes,492,Customized Invitations
4152,Palace Weddings,////Rishikesh////xc2,8812019,392621,216871,75772,544831,Luxury Package,172530,Professional Singer/Dance,920,Edible,783,Boxed
4153,Heritage Weddings,Varanasi,6437035,661321,355883,259204,521110,Luxury Package,302567,Celebrity Singers/Dancer,4292,Premium Perfumes,907,Scroll Invitations
4154,Hotel Weddings,Jodhpur,399773,58554,341699,184483,523394,Luxury Package,382565,Celebrity Singers/Dancer,2470,High-Quality,394,Customized Invitations
4155,////Farmhouse Weddings////,////Mussoorie////,3837727,80171,90988,99279,574315,Luxury Package,473247,Celebrity Singers/Dancer,2819,High-Quality,138,Customized Invitations
4156,Cruise Weddings,Udaipur,4824042,145026,120071,210403,88143,Venue Decor/519830,245490,Professional Singer/Dance,1736,Traditional Handicrafts,134,Customized Invitations
4157,Heritage Weddings,Alibaug,8201995,803870,464472,164465,482274,Luxury Package,494155,Celebrity Singers/Dancer,2645,High-Quality,797,Boxed
4158,////Temple Weddings////,////Bangaram Island////,59278,15565,11120,294052,276287,Floral Decor,91467,Live Band,1236,Traditional Handicrafts,960,Scroll Invitations
4159,Resort Weddings,Udaipur,2200631,177620,32923,128950,473844,Luxury Package,97570,Live Band,4092,Premium Perfumes,977,Scroll Invitations
4160,Heritage Weddings,////Bangaram Island////,11231237,514810,640811,88430,523609,Luxury Package,437354,Celebrity Singers/Dancer,3548,High-Quality,248,Customized Invitations
4161,Heritage Weddings,Hyderabad,7471675,497619,698279,231779,153458,Venue Decor/519830,422775,Celebrity Singers/Dancer,3638,High-Quality,861,Scroll Invitations
4162,////Destination Weddings////,////Bangaram Island////,3272420,555710,270674,163261,257171,Floral Decor,390585,Celebrity Singers/Dancer,3570,High-Quality,223,Customized Invitations
4163,Resort Weddings,Hyderabad,3322901,67005,78280,24664,481917,Luxury Package,375591,Celebrity Singers/Dancer,1746,Traditional Handicrafts,94,Traditional Paper
4164,Hotel Weddings,Mumbai,856501,54883,430915,286667,110522,Venue Decor/519830,337335,Celebrity Singers/Dancer,1513,Traditional Handicrafts,358,Customized Invitations
4165,Beach Weddings,Goa,4749507,79169,85928,84515,398153,Floral Decor,349011,Celebrity Singers/Dancer,2263,High-Quality,220,Customized Invitations
4166,Cruise Weddings,New Delhi,7269906,132644,140171,113193,366516,Floral Decor,307593,Celebrity Singers/Dancer,1048,Traditional Handicrafts,874,Scroll Invitations
4167,Cruise Weddings,Jaipur,7086575,193522,144336,122769,206288,Floral Decor,428832,Celebrity Singers/Dancer,4407,Premium Perfumes,902,Scroll Invitations
4168,////Farmhouse Weddings////,New Delhi,1529831,55451,43652,193283,400521,Luxury Package,400389,Celebrity Singers/Dancer,1350,Traditional Handicrafts,569,Boxed
4169,Cruise Weddings,New Delhi,6409182,125274,115611,230050,107943,Venue Decor/519830,42181,Live Band,3179,High-Quality,506,Boxed
4170,Cruise Weddings,Jaipur,5802088,169545,81504,217542,216108,Floral Decor,417855,Celebrity Singers/Dancer,839,Edible,704,Boxed
4171,Heritage Weddings,New Delhi,6810454,422890,673392,296753,552132,Luxury Package,222175,Professional Singer/Dance,3476,High-Quality,425,Customized Invitations
4172,////Destination Weddings////,Mumbai,3014099,567151,230171,112045,82966,Venue Decor/519830,378445,Celebrity Singers/Dancer,2199,High-Quality,778,Boxed
4173,////Temple Weddings////,////Bangaram Island////,38201,28402,12119,139531,220816,Floral Decor,265709,Celebrity Singers/Dancer,2539,High-Quality,285,Customized Invitations
4174,Palace Weddings,Udaipur,5104487,586515,288126,145519,555466,Luxury Package,323231,Celebrity Singers/Dancer,2606,High-Quality,945,Scroll Invitations
4175,Beach Weddings,Varanasi,3815036,189978,42820,30313,107896,Venue Decor/519830,172589,Professional Singer/Dance,506,Edible,294,Customized Invitations
4176,Cruise Weddings,Tirupati,7786097,162898,132889,297435,302824,Floral Decor,319679,Celebrity Singers/Dancer,1931,Traditional Handicrafts,761,Boxed
4177,////Temple Weddings////,////Rishikesh////xc2,72187,15480,9543,48070,181158,Venue Decor/519830,486304,Celebrity Singers/Dancer,2586,High-Quality,96,Traditional Paper
4178,Resort Weddings,Lonavala,2391068,149834,76209,220028,331939,Floral Decor,62147,Live Band,3208,High-Quality,473,Customized Invitations
4179,Cruise Weddings,////Bangaram Island////,5130332,104025,131645,210186,558387,Luxury Package,323195,Celebrity Singers/Dancer,4700,Premium Perfumes,158,Customized Invitations
4180,Heritage Weddings,Jodhpur,10358573,101697,800608,177333,370930,Floral Decor,268046,Celebrity Singers/Dancer,1771,Traditional Handicrafts,836,Scroll Invitations
4181,////Farmhouse Weddings////,Bangalore,2560768,59639,52921,288289,111735,Venue Decor/519830,340758,Celebrity Singers/Dancer,755,Edible,411,Customized Invitations
4182,Resort Weddings,////Bangaram Island////,3013421,171434,131067,79133,598146,Luxury Package,205475,Professional Singer/Dance,3497,High-Quality,656,Boxed
4183,////Farmhouse Weddings////,Varanasi,1631000,62358,80762,223776,353428,Floral Decor,473928,Celebrity Singers/Dancer,1054,Traditional Handicrafts,461,Customized Invitations
4184,////Farmhouse Weddings////,Bangalore,3294071,89200,49128,185449,217673,Floral Decor,185941,Professional Singer/Dance,4630,Premium Perfumes,201,Customized Invitations
4185,Cruise Weddings,Lonavala,4392237,149032,105875,276476,293774,Floral Decor,30267,Live Band,4602,Premium Perfumes,588,Boxed
4186,Palace Weddings,Nainital,5907021,206246,545796,32983,319579,Floral Decor,187023,Professional Singer/Dance,4800,Premium Perfumes,964,Scroll Invitations
4187,////Farmhouse Weddings////,////Agatti Island////xc2,3018651,88816,93452,217475,351276,Floral Decor,215103,Professional Singer/Dance,3434,High-Quality,379,Customized Invitations
4188,Beach Weddings,Lonavala,2268665,120470,72967,243221,58130,Mandap,139180,Professional Singer/Dance,3134,High-Quality,587,Boxed
4189,////Farmhouse Weddings////,Bangalore,3220398,86383,35553,233997,387986,Floral Decor,221241,Professional Singer/Dance,1299,Traditional Handicrafts,732,Boxed
4190,////Destination Weddings////,Jaisalmer,5528751,592086,220467,23482,332473,Floral Decor,60206,Live Band,3588,High-Quality,126,Customized Invitations
4191,Palace Weddings,////Agatti Island////xc2,8663925,724744,584038,136526,119237,Venue Decor/519830,68638,Live Band,4990,Premium Perfumes,166,Customized Invitations
4192,Hotel Weddings,Jaisalmer,592452,65466,556941,52094,422405,Luxury Package,338108,Celebrity Singers/Dancer,2303,High-Quality,724,Boxed
4193,Beach Weddings,Jodhpur,4362864,154981,96526,41643,576705,Luxury Package,367460,Celebrity Singers/Dancer,2129,High-Quality,570,Boxed
4194,Cruise Weddings,Varanasi,5237124,171942,143929,235129,95035,Venue Decor/519830,377917,Celebrity Singers/Dancer,977,Edible,644,Boxed
4195,Beach Weddings,New Delhi,2128813,93280,67547,268421,212718,Floral Decor,106294,Professional Singer/Dance,2980,High-Quality,663,Boxed
4196,Palace Weddings,Nainital,8349100,433096,366514,73851,441453,Luxury Package,431681,Celebrity Singers/Dancer,884,Edible,725,Boxed
4197,////Temple Weddings////,Varanasi,72112,29550,11006,211903,85214,Venue Decor/519830,254153,Celebrity Singers/Dancer,2340,High-Quality,642,Boxed
4198,Beach Weddings,Hyderabad,3169184,191488,43693,125819,514141,Luxury Package,314510,Celebrity Singers/Dancer,1486,Traditional Handicrafts,891,Scroll Invitations
4199,Resort Weddings,////Mussoorie////,2745819,108035,34314,295961,494823,Luxury Package,27387,DJ/Sangeet,1404,Traditional Handicrafts,932,Scroll Invitations
4200,Cruise Weddings,Varanasi,6843926,123395,99906,276267,300157,Floral Decor,90259,Live Band,1729,Traditional Handicrafts,495,Customized Invitations
4201,////Farmhouse Weddings////,Lonavala,2326555,81569,82637,231087,518415,Luxury Package,401098,Celebrity Singers/Dancer,1106,Traditional Handicrafts,455,Customized Invitations
4202,////Destination Weddings////,Nainital,5704402,699937,154952,59153,176578,Venue Decor/519830,231966,Professional Singer/Dance,4894,Premium Perfumes,750,Boxed
4203,Palace Weddings,Jodhpur,8971445,296886,273671,188902,469007,Luxury Package,53891,Live Band,3154,High-Quality,143,Customized Invitations
4204,////Destination Weddings////,////Bangaram Island////,4050622,517704,294583,231169,397359,Floral Decor,87679,Live Band,4122,Premium Perfumes,495,Customized Invitations
4205,Palace Weddings,Mumbai,7291805,623858,177799,210541,499087,Luxury Package,114354,Professional Singer/Dance,2062,High-Quality,62,Traditional Paper
4206,Cruise Weddings,Lonavala,7684265,168695,88835,290100,157728,Venue Decor/519830,288905,Celebrity Singers/Dancer,4114,Premium Perfumes,539,Boxed
4207,Beach Weddings,Jodhpur,2281134,120000,67633,297283,492022,Luxury Package,407891,Celebrity Singers/Dancer,3651,High-Quality,217,Customized Invitations
4208,Cruise Weddings,Jaipur,5216220,179108,70709,213658,417587,Luxury Package,141909,Professional Singer/Dance,2694,High-Quality,161,Customized Invitations
4209,////Temple Weddings////,Nainital,15254,26106,11804,72730,557068,Luxury Package,223847,Professional Singer/Dance,3481,High-Quality,990,Scroll Invitations
4210,Hotel Weddings,Neil Island,754865,89727,581697,211664,191814,Venue Decor/519830,286023,Celebrity Singers/Dancer,4990,Premium Perfumes,67,Traditional Paper
4211,////Destination Weddings////,////Bangaram Island////,3444490,604055,187472,95024,90853,Venue Decor/519830,65412,Live Band,1855,Traditional Handicrafts,332,Customized Invitations
4212,////Temple Weddings////,Tirupati,81795,27064,7106,97038,540998,Luxury Package,135534,Professional Singer/Dance,4113,Premium Perfumes,845,Scroll Invitations
4213,Palace Weddings,Jaisalmer,8338102,457368,300629,238949,447216,Luxury Package,249765,Professional Singer/Dance,3726,High-Quality,204,Customized Invitations
4214,Palace Weddings,New Delhi,8103124,458707,397304,106427,315310,Floral Decor,416072,Celebrity Singers/Dancer,4224,Premium Perfumes,967,Scroll Invitations
4215,Palace Weddings,Shimla,6675190,870624,403143,192093,433068,Luxury Package,52735,Live Band,4208,Premium Perfumes,629,Boxed
4216,Beach Weddings,////Mussoorie////,3964276,91269,46711,251406,125331,Venue Decor/519830,469113,Celebrity Singers/Dancer,3159,High-Quality,723,Boxed
4217,////Farmhouse Weddings////,Hyderabad,1600582,75954,51406,56355,65846,Venue Decor/519830,157544,Professional Singer/Dance,698,Edible,698,Boxed
4218,Palace Weddings,Mumbai,5141766,763300,205890,40318,346397,Floral Decor,40309,Live Band,1091,Traditional Handicrafts,60,Traditional Paper
4219,////Temple Weddings////,Neil Island,100323,22192,5616,127774,232495,Floral Decor,64638,Live Band,2033,High-Quality,265,Customized Invitations
4220,Heritage Weddings,Goa,6884533,835326,222376,175356,335976,Floral Decor,180124,Professional Singer/Dance,1741,Traditional Handicrafts,634,Boxed
4221,Cruise Weddings,Lonavala,6119128,133944,136555,279670,241266,Floral Decor,384020,Celebrity Singers/Dancer,977,Edible,748,Boxed
4222,////Farmhouse Weddings////,Neil Island,3794950,58296,47012,186232,308548,Floral Decor,224419,Professional Singer/Dance,4299,Premium Perfumes,622,Boxed
4223,Hotel Weddings,Mumbai,783283,99414,213436,80315,578455,Luxury Package,499619,Celebrity Singers/Dancer,1635,Traditional Handicrafts,530,Boxed
4224,Resort Weddings,Jaipur,2840319,93034,135643,103772,194843,Venue Decor/519830,232257,Professional Singer/Dance,560,Edible,521,Boxed
4225,////Temple Weddings////,Tirupati,92262,16980,10450,282991,466372,Luxury Package,68744,Live Band,3248,High-Quality,293,Customized Invitations
4226,Hotel Weddings,Bangalore,443413,66518,384800,164060,435797,Luxury Package,320206,Celebrity Singers/Dancer,1061,Traditional Handicrafts,489,Customized Invitations
4227,Heritage Weddings,Lonavala,10123256,293964,269362,70620,135791,Venue Decor/519830,457907,Celebrity Singers/Dancer,1165,Traditional Handicrafts,959,Scroll Invitations
4228,////Destination Weddings////,Bangalore,3933084,628418,124455,220123,205287,Floral Decor,23835,DJ/Sangeet,4847,Premium Perfumes,624,Boxed
4229,////Farmhouse Weddings////,////Agatti Island////xc2,3950234,70303,30769,159389,168122,Venue Decor/519830,22511,DJ/Sangeet,1243,Traditional Handicrafts,269,Customized Invitations
4230,Heritage Weddings,////Mussoorie////,10013442,667642,398402,159520,199327,Venue Decor/519830,258186,Celebrity Singers/Dancer,1562,Traditional Handicrafts,404,Customized Invitations
4231,Cruise Weddings,Jodhpur,6291400,179872,98177,263233,161858,Venue Decor/519830,23939,DJ/Sangeet,2388,High-Quality,110,Customized Invitations
4232,Hotel Weddings,Jaipur,461908,76833,174660,112180,404440,Luxury Package,175720,Professional Singer/Dance,2211,High-Quality,648,Boxed
4233,////Farmhouse Weddings////,Mumbai,3365223,84106,44959,101062,172988,Venue Decor/519830,353690,Celebrity Singers/Dancer,2627,High-Quality,317,Customized Invitations
4234,Hotel Weddings,Jaipur,513768,81925,172013,242306,402114,Luxury Package,300240,Celebrity Singers/Dancer,4451,Premium Perfumes,320,Customized Invitations
4235,Palace Weddings,New Delhi,8591286,337259,238458,68422,53146,Mandap,330806,Celebrity Singers/Dancer,2104,High-Quality,865,Scroll Invitations
4236,Cruise Weddings,Jaipur,5738933,166456,80999,21232,367274,Floral Decor,383188,Celebrity Singers/Dancer,1655,Traditional Handicrafts,886,Scroll Invitations
4237,////Temple Weddings////,Hyderabad,69501,27698,11933,188460,52410,Mandap,255388,Celebrity Singers/Dancer,902,Edible,335,Customized Invitations
4238,////Temple Weddings////,////Agatti Island////xc2,57777,16222,12220,47717,466953,Luxury Package,408082,Celebrity Singers/Dancer,1798,Traditional Handicrafts,303,Customized Invitations
4239,Cruise Weddings,Udaipur,6362562,110992,90080,44047,263571,Floral Decor,291583,Celebrity Singers/Dancer,3050,High-Quality,795,Boxed
4240,////Destination Weddings////,Udaipur,4890240,599470,378986,220654,293698,Floral Decor,352090,Celebrity Singers/Dancer,2702,High-Quality,528,Boxed
4241,Resort Weddings,Neil Island,1580138,153568,90547,156346,553889,Luxury Package,386569,Celebrity Singers/Dancer,3736,High-Quality,454,Customized Invitations
4242,Palace Weddings,Neil Island,7267319,356343,248713,82990,315089,Floral Decor,488946,Celebrity Singers/Dancer,557,Edible,76,Traditional Paper
4243,Heritage Weddings,////Mussoorie////,10969628,994316,510805,237079,70814,Venue Decor/519830,103323,Professional Singer/Dance,4259,Premium Perfumes,60,Traditional Paper
4244,Resort Weddings,Mumbai,2425795,165549,131005,159320,504364,Luxury Package,112655,Professional Singer/Dance,4761,Premium Perfumes,235,Customized Invitations
4245,Beach Weddings,Goa,3160772,188821,71910,149628,287647,Floral Decor,192576,Professional Singer/Dance,1292,Traditional Handicrafts,475,Customized Invitations
4246,Cruise Weddings,Udaipur,6944344,223566,100306,137190,299571,Floral Decor,148878,Professional Singer/Dance,1852,Traditional Handicrafts,425,Customized Invitations
4247,Palace Weddings,Jaipur,6931506,211170,351235,170296,501812,Luxury Package,464622,Celebrity Singers/Dancer,3159,High-Quality,387,Customized Invitations
4248,////Destination Weddings////,Hyderabad,3711908,679996,114124,43397,54796,Mandap,164683,Professional Singer/Dance,916,Edible,151,Customized Invitations
4249,Palace Weddings,Jaisalmer,6265474,285644,463228,97113,171353,Venue Decor/519830,224322,Professional Singer/Dance,2227,High-Quality,825,Scroll Invitations
4250,////Farmhouse Weddings////,New Delhi,2190508,76891,73016,257074,107260,Venue Decor/519830,33395,Live Band,2053,High-Quality,494,Customized Invitations
4251,Cruise Weddings,Nainital,5909443,131858,84869,172451,261204,Floral Decor,51992,Live Band,879,Edible,547,Boxed
4252,Resort Weddings,////Mussoorie////,1724625,113989,144484,244522,368265,Floral Decor,111827,Professional Singer/Dance,4960,Premium Perfumes,746,Boxed
4253,Hotel Weddings,Nainital,717272,57396,58787,148450,500876,Luxury Package,72902,Live Band,1794,Traditional Handicrafts,433,Customized Invitations
4254,////Farmhouse Weddings////,Jaipur,3799956,76693,40902,252512,496248,Luxury Package,495064,Celebrity Singers/Dancer,4927,Premium Perfumes,216,Customized Invitations
4255,Heritage Weddings,////Mussoorie////,7669835,998349,284983,224812,576700,Luxury Package,223800,Professional Singer/Dance,591,Edible,920,Scroll Invitations
